tipo,categoria,slug,ferramenta
"Beleza / Estética","Salão de Beleza","salao_beleza","agendamento"
"Beleza / Estética","Barbearia","barbearia","agendamento"
"Beleza / Estética","Clínica de Estética","estetica","agendamento"
"Beleza / Estética","Sobrancelhas / Micropigmentação","sobrancelhas","agendamento"
"Beleza / Estética","Manicure / Nail Designer","manicure","agendamento"
"Beleza / Estética","Extensão de Cílios / Lash","cilios_lash","agendamento"
"Beleza / Estética","Depilação","depilacao","agendamento"
"Beleza / Estética","Spa / Terapias","spa","agendamento"
"Delivery / Alimentação","Lanchonete / Fast Food","lanchonete","delivery"
"Delivery / Alimentação","Pizzaria","pizzaria","delivery"
"Delivery / Alimentação","Restaurante","restaurante","delivery"
"Delivery / Alimentação","Hamburgueria","hamburgueria","delivery"
"Delivery / Alimentação","Marmitaria / Quentinha","marmitaria","delivery"
"Delivery / Alimentação","Açaí / Sorveteria","acai_sorveteria","delivery"
"Delivery / Alimentação","Confeitaria / Bolos","confeitaria","delivery"
"Delivery / Alimentação","Salgaderia / Doceria","salgaderia","delivery"
"Delivery / Alimentação","Outros Delivery","delivery_outros","delivery"
"Saúde","Clínica Médica","clinica_medica","agendamento"
"Saúde","Dentista / Odontologia","dentista","agendamento"
"Saúde","Fisioterapia / Pilates","fisioterapia","agendamento"
"Saúde","Psicólogo / Terapeuta","psicologia","agendamento"
"Saúde","Nutricionista","nutricionista","agendamento"
"Saúde","Veterinário / Pet Care","veterinario","agendamento"
"Saúde","Outros Serviços de Saúde","saude_outros","agendamento"
"Educação / Fitness","Academia / Fitness","academia","agendamento"
"Educação / Fitness","Artes Marciais / Luta","artes_marciais","agendamento"
"Educação / Fitness","Personal Trainer","personal","agendamento"
"Educação / Fitness","Escola / Cursos","escola_cursos","agendamento"
"Educação / Fitness","Escola de Idiomas","idiomas","agendamento"
"Varejo / Loja","Loja de Roupas / Moda","loja_roupas","vendas"
"Varejo / Loja","Loja / Varejo Geral","loja_geral","vendas"
"Tecnologia / TI","Assistência Técnica","assistencia_tecnica","agendamento"
"Tecnologia / TI","Empresa de TI / Software","empresa_ti","generic"
"Imobiliário","Imobiliária / Corretor","imobiliaria","generic"
"Financeiro / Seguros","Contabilidade / Financeiro","contabilidade","generic"
"Automotivo","Oficina Mecânica","oficina","agendamento"
"Automotivo","Serviços Automotivos","automovel_outros","agendamento"
"Eventos","Eventos / Fotografia","eventos","agendamento"
"Serviços Gerais","Serviços Gerais","servicos_gerais","generic"
"Construção / Reforma","Construção / Reforma","construcao","generic"
"Jurídico","Advocacia / Jurídico","juridico","generic"
"Geral","Negócio Geral","negocio_geral","generic"